Central Government Debt (Percent of GDP),1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
Switzerland,38.58013348,35.33294444,33.10170891,31.66436011,29.97009541,27.18351697,24.81343705,21.42751388,19.34663292,17.86179142,15.44865913,13.25428109,11.4183749,10.21780632,8.845419565,7.810176215,7.186953614,6.789744205,6.567172043,6.331300145,5.729276602,5.525784134,5.147911316,4.849303324,5.588316448,7.323587113,12.58287984,12.90657576,13.15954861,13.72640215,12.81951825,12.12835014,11.58218757,11.37531979,no data,no data,13.68323767,13.08797543,12.53104566,11.26910708,10.98230834,11.7918272,14.05579506,16.55003501,17.72789892,19.38156018,20.6308893,22.26323267,24.32995855,22.48534214,22.16099383,21.69099396,24.93646536,24.94208124,24.81187465,24.59525788,21.75655226,19.50897687,18.71230362,17.5789024,16.67779353,16.39534882,16.37873518,16.01306092,15.40142283,14.70651218,13.71020936,14.17893389,12.8188889,12.26986253,13.89335243,13.82478896
Syria,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,49.96046105,52.07736305,49.96103134,40.52824325,37.97809782,36.31959461,46.86788915,53.07801297,60.02500407,54.84085194,60.44369079,60.87967031,84.58410317,101.2157932,116.4696762,138.0478914,127.9474062,113.0797571,138.6245654,203.8451683,189.7565944,182.4246293,173.6214342,171.9394722,162.9812222,152.6423337,141.4788716,147.6234039,151.2253563,147.697721,152.0944453,144.4899612,132.4270934,133.37035,113.0472106,50.71028784,44.97726846,42.67188358,37.31915911,31.21209538,30.02441131,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data
São Tomé and Príncipe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,4.403994118,18.60470496,22.22129463,34.23459945,34.97846975,45.53453922,56.5335623,68.39409011,74.24291155,65.69332244,77.38495472,101.0729598,114.2356948,110.5546217,138.7699702,176.4737488,143.6055498,152.1029419,228.8804214,677.1803097,495.9486414,460.1252089,526.1829084,485.1158145,410.1422169,362.3848936,325.5927015,347.3783957,295.7476549,269.6368468,103.8084429,58.54933174,72.4167523,79.53855351,78.01944307,81.03687489,71.15065881,69.45725106,85.79734604,95.29749553,85.83887025,93.89392038,71.56690979,81.37374199,72.37787844
Taiwan Province of China,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.67930468,3.857910391,4.737004472,4.496022607,5.318413501,10.10488368,12.87969621,13.49595156,14.90812822,15.25141929,15.87762599,14.62046476,13.39029628,23.7258399,27.26819863,26.8030087,28.6042906,28.99336949,29.49001282,28.81381533,27.8226511,28.80694888,31.93836113,32.26417986,33.30924168,34.04013486,33.70033832,32.44943258,31.0547356,30.41430641,29.76658906,29.24462893,28.17521648,27.96529471,26.29930323
Thailand,6.550694378,6.892030257,8.155958528,12.83060701,16.5199872,13.29703568,12.74031575,12.57231967,14.98588233,15.24686198,14.2608162,12.87816794,13.41135775,12.58435016,13.32921924,14.81861024,14.39860575,15.03156392,15.53392638,17.69690186,18.53465612,21.54657101,26.77076391,21.16879673,16.32289967,15.76189902,21.98228077,22.39065215,22.76775288,23.6930114,22.14754516,24.36981364,27.10514684,28.92041647,30.64890877,36.76120522,40.14373492,38.77244441,30.33256985,23.72061853,17.79637167,12.96795692,10.49087662,8.186243537,5.693219737,4.610094712,3.673497457,4.641520409,10.66985739,20.00577892,21.96458651,24.57833404,30.07035627,27.04601837,24.3963998,24.39220105,23.26111724,22.60400145,21.99186035,26.79589689,27.77926194,27.31535364,28.45789855,29.63239281,29.89091747,32.0900985,30.55733202,32.45882556,33.90484472,33.98857031,45.11726346,52.76123691
Timor-Leste,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,0.001867027,0.455708525,1.524535298,2.942100029,4.676361618,6.577863037,9.147654655,11.33728463,13.67791738,14.07564973
Togo,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,9.199685535,9.586413617,7.838611249,10.30202173,17.20179515,18.47239698,25.20602907,33.97933583,51.40850216,60.10235584,52.74370781,56.82094309,62.0880112,66.38928028,62.13849043,68.60254012,56.37262663,56.57870851,51.34090556,46.33992373,44.73314612,46.86870773,45.031683,58.29730565,78.96092896,64.8228499,60.39892344,54.38035958,62.81878729,59.90242266,66.49034248,68.48993905,54.83526696,49.97780999,48.70381737,63.08262855,67.74437028,73.80171891,68.7349435,59.71047522,34.32122031,35.09041246,35.57858958,42.41839297,46.46192645,53.30809254,60.1458891,56.60912326,57.00416119,52.35231876,60.280264,63.7452641
Tonga,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,40.1922,40.053,46.143,42.4323,40.2573,49.7617,42.2815,39.778,no data,no data,35.27245518,31.51601801,32.75917607,36.02955649,38.40243902,43.56161793,53.3967247,60.66236947,56.22087573,52.24847012,43.34879489,39.55002465,37.81587039,34.00523364,39.72686238,44.73220886,51.85343234,54.42937989,49.03808524,47.47648212,51.17606606,49.41458589,45.58307701,45.89982541,41.32127051,43.61985584,47.54703294
Trinidad and Tobago,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,12.35080833,13.60530193,14.27035489,13.94456579,no data,14.96798806,15.94762057,21.7013161,16.1867111,17.56937474,17.24325569,13.74115481,11.51423121,9.510620882,no data,15.84935514,13.6575631,5.962234923,8.302098559,7.454889754,10.62351785,15.61220536,16.38540752,35.89354035,45.5867169,48.98749491,51.13490421,47.70845326,49.47712617,49.15196075,58.78571465,52.5816955,50.13765002,46.98001285,46.1142425,42.77645847,42.15214981,38.9113807,36.6125712,35.61903806,29.04524159,23.20782869,19.01229929,16.20707839,15.65362338,13.0207446,20.03863951,19.58273163,27.976857,24.55266694,24.35557929,23.42399054,27.82859845,37.69761748,40.95466569,41.56497687,45.40916343,61.00845586,58.93159969
Tunisia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,38.40714679,36.0109341,31.3180787,31.04173604,29.24694345,27.26605934,29.62517464,32.5886211,35.43582558,33.56140919,31.24951362,32.09540962,34.9601881,37.64645998,38.55264168,41.36793597,51.41548217,46.82577212,50.67368839,48.75559263,47.69808575,53.37844047,48.31654746,51.67943546,51.61840906,50.34279638,48.43088227,54.28228618,51.66102231,52.98315397,52.44253172,53.92242919,53.29862438,51.97773652,51.57753668,49.97661797,45.71513997,42.70438163,45.05349749,44.47072102,43.35998949,46.96984563,51.7801825,46.74504257,50.73685142,55.18344061,60.45418185,69.12646846,74.77929441,69.01834331,82.84921956,81.78545094
Turkmenistan,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,85.85826098,109.1780161,89.18339143,73.74804869,45.59533965,32.3374552,22.62848813,15.26825013,9.117415147,5.652021276,4.094394645,4.761565753,4.129120389,6.281811471,10.09695211,13.87036115,15.87697204,12.45545696,14.83651072,19.04322997,19.78096453,18.8975825,15.29306991,13.1222968,11.07858479
Tuvalu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,37.40772445,37.4941888,32.98438036,20.28869991,21.12557877,21.05906336,19.09807767,19.2751117,17.78957741,16.38730287,14.36969104,11.48884521,12.04978129,11.83524742,11.52484082,7.291909983,6.02425612
"Türkiye, Republic of",11.62272056,no data,no data,no data,no data,no data,no data,no data,9.322270998,8.008960871,8.764419074,12.71229127,12.71899112,13.23178309,12.41802015,15.85516218,16.15066856,16.08672552,16.60509614,16.14985881,20.23794395,17.86565247,16.26553102,13.16162406,12.02194813,12.46383009,12.32826125,14.71676264,15.66360282,17.79420781,24.77953667,25.71833784,29.4455304,29.23178562,36.88200156,38.35308271,32.90759508,37.65822748,38.55894142,30.41348996,24.66160454,27.23231509,29.06055291,29.77354779,39.3005224,31.68220772,32.72325846,32.18529557,30.31235944,38.84913672,37.18325501,72.05980111,67.13745647,59.98538303,54.3829251,48.794745,43.41800699,37.60916142,37.97827376,43.92497575,40.60634469,36.94636669,33.69635878,32.14785713,29.80767027,28.84997676,28.93335097,27.96991213,28.38997194,30.82412322,35.91064745,37.90727736
Uganda,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,10.29478774,11.8332972,13.51825657,15.48848119,15.95786461,12.68135614,14.32745368,9.18695494,9.302887627,7.746584546,13.97462966,12.73448117,12.88328484,26.56506036,27.04925129,32.87429289,27.35133715,no data,no data,no data,no data,141.1539329,88.25782962,61.05513596,42.26950494,46.91909793,47.68252237,44.19485508,45.09312301,47.71754552,48.54464988,51.35231188,54.71096425,55.13935675,48.96601973,42.56278657,27.75801277,16.97557317,15.65383821,14.79281222,18.35494602,17.95944248,19.49138507,22.07978225,24.76785201,28.45986986,30.99658394,33.63381772,34.94534444,37.64087999,46.31868143,51.7632986
Ukraine,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,30.15182199,24.36603008,28.89183807,46.53736414,58.95884861,43.7895324,36.69002455,33.57956259,29.38022609,24.79809241,17.74063188,14.80032509,12.26663828,19.84665967,34.7388971,40.04604733,36.39428427,36.76348521,39.88332362,69.59980339,79.06187391,80.89996843,71.7984599,60.90332534,50.24340905,60.44338974,48.94262007
United Kingdom,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,37.81947111,37.35249011,36.33871086,44.94074505,39.14285511,38.52465705,36.84484333,33.48213207,37.85842589,39.398768,39.7860546,40.27298563,38.09943073,37.37913773,32.55242994,28.46608413,27.25486771,27.47810266,32.06945288,36.66306289,39.37440985,42.36616707,42.56418248,42.38456411,40.28095256,38.97367487,37.40837506,34.73914273,35.03430964,36.12935229,39.04429636,40.13479026,40.98753862,41.98168081,49.78408158,63.70665074,74.72396329,80.14074797,83.15902298,83.85315268,85.53083369,86.05666976,85.696838,85.04641791,84.40971679,83.88805307,102.6306966,102.9726972
United States,78.19964498,68.20192929,66.34144852,64.60220631,64.95571462,59.52055782,55.37030444,52.24956571,53.65992726,50.90128696,48.84313086,48.71073032,46.68362548,45.10125461,43.0858597,40.28421085,37.59763807,37.44478962,35.81076786,32.9590588,32.58867456,32.44571854,31.06912724,28.57219198,27.51170258,31.08399325,32.21633487,32.12563339,31.20429503,29.79349719,30.59301969,30.32673584,34.47918536,37.39181761,39.20493356,42.89764923,46.37764009,47.56426549,47.95663072,47.99629538,50.07941306,53.55383335,55.79770947,57.38957943,56.69826066,56.35374194,55.72256097,53.09552261,50.06742379,46.85146932,41.38399856,40.66321581,42.12427373,44.67687634,45.47615959,45.612806,44.82746316,45.16841978,53.40629052,64.97058651,73.64727498,78.52816636,82.79117999,85.13749,85.92197166,86.9103772,89.3566817,88.97986999,90.98905109,93.10997726,119.3652743,115.2811338
Uruguay,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,6.13512123,9.342240029,9.162959558,7.034109012,7.644462928,8.163099183,8.706760383,7.291633337,5.665336662,3.994726204,4.61041073,4.337958008,13.53346379,21.25387262,39.62744172,29.15729319,34.75184121,37.48900796,34.98100235,no data,26.3003374,20.48473614,22.32367532,20.06298218,19.39994933,18.57458734,18.32867054,18.83390552,19.46241481,21.73021048,27.17887294,35.66884996,84.33692481,86.56782859,69.74022255,62.7114631,57.33814198,48.81969076,48.11704335,41.57544941,36.96830439,36.74547435,35.67286482,35.79750076,36.52120913,43.94353418,43.36281833,43.990805,46.6864135,49.29905006,58.15223937,57.37838061
Vanuatu,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,3.772973961,4.536626922,3.990814199,5.052038172,6.551564619,8.22373112,13.66194267,14.47137935,18.19079654,21.1595613,20.78570778,21.03595366,20.27383532,21.59912905,24.06159388,23.05817582,22.94319694,28.04586361,30.61948949,36.10835022,37.03586288,38.80623043,38.26381101,30.41222459,26.27375545,22.16165066,19.48126583,21.2129362,21.12430245,20.22324451,21.29888978,19.27971362,18.63039112,20.26370548,37.70863685,43.72604455,52.62915895,45.26138062,45.09595449,47.53306462,48.18741423
Venezuela,0.124302385,0.053821313,0.350500715,0.238416858,0.186248168,0.149228706,0.111764706,0.078419861,1.960624797,2.669040538,5.36241208,5.768360486,4.77424888,4.086046872,3.618800185,3.801664749,3.757506204,4.390168124,5.147110169,6.214469557,6.71929605,7.235003089,9.194933525,8.67634197,7.631380782,5.786826194,9.640260564,12.6710612,16.56691231,19.23098315,16.63509127,18.89364389,18.59346431,21.39206865,36.39613496,34.1026004,45.86709009,58.2781343,46.29413579,61.83196584,63.26196792,62.19109234,54.80570645,57.74698113,63.89144811,45.90440721,45.90407528,34.84832263,31.17980965,29.70031427,27.3786503,29.56229068,35.45674035,47.47632633,37.63302237,31.6618299,24.07,19.15,13.98,18.2,18.35,25.16,31.6,45.11,44.54,53.15,53.25,108.6,47.63,68.51,no data,no data
Vietnam,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,220.1267382,177.6166539,135.1462526,105.5150318,85.64587806,72.90722504,58.63972761,61.23554356,59.66575247,32.82610115,31.39759381,32.05429403,34.77903272,31.24813258,29.72134401,26.78075871,26.45436819,25.71630667,no data,32.46130034,30.87000347,31.40793168,34.15699322,36.98682186,39.77107072,42.08204151,41.1091641,39.66049131,38.0517641,39.39961021,39.09448534
West Bank and Gaza,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,20.02378048,22.1591029,20.86995932,20.65503201,21.0911632,23.99536717,19.25249979,23.71750492,22.97829409,23.96356276,22.71808657,26.28493425,29.80110153,30.23138981,33.95213644,37.07095266,31.02731514,31.78458423,33.14490516,34.46871002,47.08007373,50.38231272
Yemen,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,91.56543096,82.6850289,78.02214901,76.74738039,73.3497565,84.10759071,114.9049926,74.15653166,110.595231,96.05025159,60.84074503,60.56857804,57.82722756,56.82301164,52.06809444,43.8007105,40.84237166,40.40790584,36.42126603,49.84235784,42.37957253,45.72598481,47.31237793,48.19976223,48.72214484,57.03128996,72.25535424,77.42633664,74.54397531,76.52701473,83.9560628,69.73363198
Zambia,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,2.100214018,2.04740797,4.319961915,6.405491695,2.557064532,8.253886224,10.77340976,13.31691744,15.48062106,14.10494357,14.9806389,14.36644208,18.52436287,17.07599072,15.903778,13.74019406,10.19655565,7.98157768,17.66806433,19.29720492,18.6093829,24.55149753,2.263347598,15.25699387,17.71667764,24.38207365,23.7258189,18.41275095,26.44971008,25.84002804,260.9641718,210.2425832,180.2436455,159.4577845,129.9141177,75.74756486,25.00552767,21.92153341,19.19181798,20.52114466,18.89788861,20.8081215,25.43380678,27.08097746,36.12864239,65.7767655,61.57471315,66.31688055,80.51698944,99.73422384,140.2106182,119.1412617
Zimbabwe,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,no data,14.65593884,14.24260256,15.38317991,15.70089493,15.63204657,27.92004408,27.10122498,23.55702756,19.27696595,16.42199845,14.64552644,13.5022189,15.73110182,17.14857323,22.81053754,24.73312459,23.85878911,22.65425617,25.13333043,15.89332801,20.49336087,27.31085341,28.46219816,30.94312821,25.01273447,24.10894249,24.64207311,28.06688315,37.36032426,40.53295268,42.47969429,42.18726928,33.13993667,29.9184515,27.53927445,26.62719358,26.41580651,25.50601449,30.76160833,43.8426618,no data,33.06135093,39.43693613,44.66965925,61.07679246,58.70899509,47.57679539,42.86382046,38.2626096,36.94001747,42.2038347,47.45809116,49.08057308,74.07511039,51.00144461,93.21295132,102.4908027,66.91289045
